form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,paradigm_tag,source,page,language_id
kommoirangmantak029,mu,1.pl.incl.3.sg.fut.aff,mu-ni-te,Σ-ni-te,Σ+ni+te,Σ n i t e,Σ + n i + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak030,mu,1.pl.excl.3.pl.fut.aff,kin-na-mu-sik-ni,kin-na-Σ-sik-ni,kin+na+Σ+sik+ni,k i n n a Σ s i k n i,k i n + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak031,mu,1.pl.excl.3.pl.fut.aff,mu-kin-te,Σ-kin-te,Σ+kin+te,Σ k i n t e,Σ + k i n + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak032,mu,1.pl.incl.3.pl.fut.aff,ni-na-mu-sik-ni,ni-na-Σ-sik-ni,ni+na+Σ+sik+ni,n i n a Σ s i k n i,n i + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak033,mu,1.pl.incl.3.pl.fut.aff,mu-ni-te,Σ-ni-te,Σ+ni+te,Σ n i t e,Σ + n i + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak034,che,2.sg.fut.aff,che-na-te,Σ-na-te,Σ+na+te,Σ n a t e,Σ + n a + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak035,che,2.sg.fut.aff,na-che-sik-ni,na-Σ-sik-ni,na+Σ+sik+ni,n a Σ s i k n i,n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak036,che,2.pl.fut.aff,che-ning-te,Σ-ning-te,Σ+ning+te,Σ n i ŋ t e,Σ + n i ŋ + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak037,che,2.pl.fut.aff,ning-che-sik-ni,ning-Σ-sik-ni,ning+Σ+sik+ni,n i ŋ Σ s i k n i,n i ŋ + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak038,mu,2.sg.1.sg.fut.aff,na-mu-na-te,na-Σ-na-te,na+Σ+na+te,n a Σ n a t e,n a + Σ + n a + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
